species,collection,item,asset,measure,value
Acerodon humilis,bii_nhm,bii_nhm_10km_2020,bii_nhm_10km_2020,mean,77.01
Acerodon humilis,bii_nhm,bii_nhm_10km_2020,bii_nhm_10km_2020,median,75.52000000000001
Acerodon humilis,bii_nhm,bii_nhm_10km_2020,bii_nhm_10km_2020,maximum,90.81
Acerodon humilis,bii_nhm,bii_nhm_10km_2020,bii_nhm_10km_2020,minimum,67.83
Acerodon humilis,bii_nhm,bii_nhm_10km_2020,bii_nhm_10km_2020,std,6.935257745751055
Acerodon jubatus,bii_nhm,bii_nhm_10km_2020,bii_nhm_10km_2020,mean,76.95111111111112
Acerodon jubatus,bii_nhm,bii_nhm_10km_2020,bii_nhm_10km_2020,median,79.22
Acerodon jubatus,bii_nhm,bii_nhm_10km_2020,bii_nhm_10km_2020,maximum,81.46
Acerodon jubatus,bii_nhm,bii_nhm_10km_2020,bii_nhm_10km_2020,minimum,70.61
Acerodon jubatus,bii_nhm,bii_nhm_10km_2020,bii_nhm_10km_2020,std,3.924259307322993
Acerodon leucotis,bii_nhm,bii_nhm_10km_2020,bii_nhm_10km_2020,mean,45.847500000000004
Acerodon leucotis,bii_nhm,bii_nhm_10km_2020,bii_nhm_10km_2020,median,48.465
Acerodon leucotis,bii_nhm,bii_nhm_10km_2020,bii_nhm_10km_2020,maximum,51.69
Acerodon leucotis,bii_nhm,bii_nhm_10km_2020,bii_nhm_10km_2020,minimum,36.79
Acerodon leucotis,bii_nhm,bii_nhm_10km_2020,bii_nhm_10km_2020,std,5.742221446692659
Acerodon mackloti,bii_nhm,bii_nhm_10km_2020,bii_nhm_10km_2020,mean,52.160583941605864
Acerodon mackloti,bii_nhm,bii_nhm_10km_2020,bii_nhm_10km_2020,median,52.81
Acerodon mackloti,bii_nhm,bii_nhm_10km_2020,bii_nhm_10km_2020,maximum,84.81
Acerodon mackloti,bii_nhm,bii_nhm_10km_2020,bii_nhm_10km_2020,minimum,25.1
Acerodon mackloti,bii_nhm,bii_nhm_10km_2020,bii_nhm_10km_2020,std,13.726446605775685
Aethalops aequalis,bii_nhm,bii_nhm_10km_2020,bii_nhm_10km_2020,mean,21.992887139107598
Aethalops aequalis,bii_nhm,bii_nhm_10km_2020,bii_nhm_10km_2020,median,21.84
Aethalops aequalis,bii_nhm,bii_nhm_10km_2020,bii_nhm_10km_2020,maximum,36.73
Aethalops aequalis,bii_nhm,bii_nhm_10km_2020,bii_nhm_10km_2020,minimum,16.18
Aethalops aequalis,bii_nhm,bii_nhm_10km_2020,bii_nhm_10km_2020,std,1.6196984970788308
Aethalops alecto,bii_nhm,bii_nhm_10km_2020,bii_nhm_10km_2020,mean,38.76377358490565
Aethalops alecto,bii_nhm,bii_nhm_10km_2020,bii_nhm_10km_2020,median,34.04
Aethalops alecto,bii_nhm,bii_nhm_10km_2020,bii_nhm_10km_2020,maximum,81.17
Aethalops alecto,bii_nhm,bii_nhm_10km_2020,bii_nhm_10km_2020,minimum,14.78
Aethalops alecto,bii_nhm,bii_nhm_10km_2020,bii_nhm_10km_2020,std,18.858547258921643
Alionycteris paucidentata,bii_nhm,bii_nhm_10km_2020,bii_nhm_10km_2020,mean,NaN
Alionycteris paucidentata,bii_nhm,bii_nhm_10km_2020,bii_nhm_10km_2020,median,NaN
Alionycteris paucidentata,bii_nhm,bii_nhm_10km_2020,bii_nhm_10km_2020,maximum,NaN
Alionycteris paucidentata,bii_nhm,bii_nhm_10km_2020,bii_nhm_10km_2020,minimum,NaN
Alionycteris paucidentata,bii_nhm,bii_nhm_10km_2020,bii_nhm_10km_2020,std,NaN
Ametrida centurio,bii_nhm,bii_nhm_10km_2020,bii_nhm_10km_2020,mean,NaN
Ametrida centurio,bii_nhm,bii_nhm_10km_2020,bii_nhm_10km_2020,median,NaN
