sp,collection,item,asset,statistic,value
Acerodon celebensis,accessibility_to_cities,accessibility,data,mean,128.93827160493828
Acerodon celebensis,accessibility_to_cities,accessibility,data,median,127.0
Acerodon celebensis,accessibility_to_cities,accessibility,data,maximum,155
Acerodon celebensis,accessibility_to_cities,accessibility,data,minimum,118
Acerodon celebensis,accessibility_to_cities,accessibility,data,std,7.783549445806113
Acerodon humilis,accessibility_to_cities,accessibility,data,mean,858.5868081880212
Acerodon humilis,accessibility_to_cities,accessibility,data,median,866.0
Acerodon humilis,accessibility_to_cities,accessibility,data,maximum,1171
Acerodon humilis,accessibility_to_cities,accessibility,data,minimum,619
Acerodon humilis,accessibility_to_cities,accessibility,data,std,129.03916489864955
Acerodon humilis,bii_nhm,bii_nhm_10km_2020,bii_nhm_10km_2020,mean,77.01
Acerodon humilis,bii_nhm,bii_nhm_10km_2020,bii_nhm_10km_2020,median,75.52000000000001
Acerodon humilis,bii_nhm,bii_nhm_10km_2020,bii_nhm_10km_2020,maximum,90.81
Acerodon humilis,bii_nhm,bii_nhm_10km_2020,bii_nhm_10km_2020,minimum,67.83
Acerodon humilis,bii_nhm,bii_nhm_10km_2020,bii_nhm_10km_2020,std,6.935257745751055
Acerodon jubatus,accessibility_to_cities,accessibility,data,mean,763.3835897435897
Acerodon jubatus,accessibility_to_cities,accessibility,data,median,763.0
Acerodon jubatus,accessibility_to_cities,accessibility,data,maximum,927
Acerodon jubatus,accessibility_to_cities,accessibility,data,minimum,672
Acerodon jubatus,accessibility_to_cities,accessibility,data,std,42.819958038306844
Acerodon jubatus,bii_nhm,bii_nhm_10km_2020,bii_nhm_10km_2020,mean,76.95111111111112
Acerodon jubatus,bii_nhm,bii_nhm_10km_2020,bii_nhm_10km_2020,median,79.22
Acerodon jubatus,bii_nhm,bii_nhm_10km_2020,bii_nhm_10km_2020,maximum,81.46
Acerodon jubatus,bii_nhm,bii_nhm_10km_2020,bii_nhm_10km_2020,minimum,70.61
Acerodon jubatus,bii_nhm,bii_nhm_10km_2020,bii_nhm_10km_2020,std,3.924259307322993
Acerodon leucotis,accessibility_to_cities,accessibility,data,mean,72.32808716707022
Acerodon leucotis,accessibility_to_cities,accessibility,data,median,50.0
Acerodon leucotis,accessibility_to_cities,accessibility,data,maximum,307
Acerodon leucotis,accessibility_to_cities,accessibility,data,minimum,2
Acerodon leucotis,accessibility_to_cities,accessibility,data,std,66.72450904371279
Acerodon leucotis,bii_nhm,bii_nhm_10km_2020,bii_nhm_10km_2020,mean,45.847500000000004
Acerodon leucotis,bii_nhm,bii_nhm_10km_2020,bii_nhm_10km_2020,median,48.465
Acerodon leucotis,bii_nhm,bii_nhm_10km_2020,bii_nhm_10km_2020,maximum,51.69
Acerodon leucotis,bii_nhm,bii_nhm_10km_2020,bii_nhm_10km_2020,minimum,36.79
Acerodon leucotis,bii_nhm,bii_nhm_10km_2020,bii_nhm_10km_2020,std,5.742221446692659
Acerodon mackloti,accessibility_to_cities,accessibility,data,mean,184.44638459816431
Acerodon mackloti,accessibility_to_cities,accessibility,data,median,149.0
Acerodon mackloti,accessibility_to_cities,accessibility,data,maximum,806
Acerodon mackloti,accessibility_to_cities,accessibility,data,minimum,0
Acerodon mackloti,accessibility_to_cities,accessibility,data,std,133.15731514515667
Acerodon mackloti,bii_nhm,bii_nhm_10km_2020,bii_nhm_10km_2020,mean,52.160583941605864
Acerodon mackloti,bii_nhm,bii_nhm_10km_2020,bii_nhm_10km_2020,median,52.81
Acerodon mackloti,bii_nhm,bii_nhm_10km_2020,bii_nhm_10km_2020,maximum,84.81
Acerodon mackloti,bii_nhm,bii_nhm_10km_2020,bii_nhm_10km_2020,minimum,25.1
Acerodon mackloti,bii_nhm,bii_nhm_10km_2020,bii_nhm_10km_2020,std,13.726446605775685
